in:dy4,in:dy0,out:displacement,out:mass,img
-1,-2,0.188814,210.002765,dy4-1_dy0-2.png
-0.6,-2,0.385527,207.359691,dy4-0.6_dy0-2.png
-0.2,-2,0.835858,207.364034,dy4-0.2_dy0-2.png
0.2,-2,0.465257,210.111703,dy40.2_dy0-2.png
0.6,-2,0.191243,215.48647,dy40.6_dy0-2.png
1,-2,0.11014,223.180354,dy41_dy0-2.png
-1,-1.2,0.186946,166.601799,dy4-1_dy0-1.2.png
-0.6,-1.2,0.347379,164.165866,dy4-0.6_dy0-1.2.png
-0.2,-1.2,0.486398,164.748761,dy4-0.2_dy0-1.2.png
0.2,-1.2,0.273986,168.340527,dy40.2_dy0-1.2.png
0.6,-1.2,0.13802,174.703261,dy40.6_dy0-1.2.png
1,-1.2,0.087394,183.427943,dy41_dy0-1.2.png
-1,-0.4,0.180697,134.969265,dy4-1_dy0-0.4.png
-0.6,-0.4,0.260593,132.967557,dy4-0.6_dy0-0.4.png
-0.2,-0.4,0.244187,134.672412,dy4-0.2_dy0-0.4.png
0.2,-0.4,0.166006,139.709227,dy40.2_dy0-0.4.png
0.6,-0.4,0.107494,147.547791,dy40.6_dy0-0.4.png
1,-0.4,0.077435,157.629558,dy41_dy0-0.4.png
-1,0.4,0.140237,112.212912,dy4-1_dy00.4.png
-0.6,0.4,0.138866,111.627611,dy4-0.6_dy00.4.png
-0.2,0.4,0.152943,115.997359,dy4-0.2_dy00.4.png
0.2,0.4,0.145821,123.43191,dy40.2_dy00.4.png
0.6,0.4,0.112824,133.121049,dy40.6_dy00.4.png
1,0.4,0.08595,144.595075,dy41_dy00.4.png
-1,1.2,0.113563,109.952873,dy4-1_dy01.2.png
-0.6,1.2,0.162315,112.111745,dy4-0.6_dy01.2.png
-0.2,1.2,0.248056,118.62537,dy4-0.2_dy01.2.png
0.2,1.2,0.254413,127.15431,dy40.2_dy01.2.png
0.6,1.2,0.171028,137.468849,dy40.6_dy01.2.png
1,1.2,0.115517,149.340302,dy41_dy01.2.png
-1,2,0.177852,160.99769,dy4-1_dy02.png
-0.6,2,0.261887,159.453209,dy4-0.6_dy02.png
-0.2,2,0.536179,162.184378,dy4-0.2_dy02.png
0.2,2,0.547795,168.308556,dy40.2_dy02.png
0.6,2,0.263273,177.074719,dy40.6_dy02.png
1,2,0.150043,187.896148,dy41_dy02.png
